"Asianlunarexplorationprobes","Asianlunarexplorationprobes","Asianlunarexplorationprobes","Asianlunarexplorationprobes","Asianlunarexplorationprobes","Asianlunarexplorationprobes"
"Missionname","Type","Year","Vehicle","Outcome"
"Hiten(MUSES-A)","Flyby/Orbiter","1990","Mu-3S-II","Success"
"Hagoromo","Orbiter","1990","Mu-3S-II","Failure"
"Lunar-A","Orbiter","2004(intended)Neverlaunched","M5","CancelledandintegratedintoRussia'sLuna-Glob."
"SELENE(VRAD)","Orbiter","2007","H-IIA202","Success"
"Chang'e1","Orbiter","2007","LongMarch3A","Success"
"Chandrayaan-1","Orbiter","2008","PSLV-XL","Success"
"Chang'e2","Orbiter","2010","LongMarch3C","Success"
"Chang'e3","LanderRover","2013","LongMarch3B","Success"
"Chang'e5-T1","Flyby","2014","LongMarch3C","Success"
"Queqiao","Flyby(L2Orbiter)","2018","LongMarch4C","Success"
"Chang'e4","LanderRover","2019","LongMarch3B","Success"
"Chandrayaan-2","OrbiterLanderRover","2019","GSLVMkIII","Partialsuccess"
"Chang'e5","Samplereturn","2020","LongMarch5","Success"
"Chandrayaan-3","LanderRover","Q22021","GSLVMkIII","Planned"
"SLIM","Lander","January2022","H-IIA202","Planned"
"KoreaPathfinderLunarOrbiter","Orbiter","August2022","Falcon9","Planned"
"DESTINY+","Flyby","2022","Epsilon","Planned"
"Chang'e6","Samplereturn","2023–24","LongMarch5","Planned"
"Chang'e7","OrbiterLanderRoverHopper","2023","LongMarch5","Planned"
"LunarPolarExplorationMission","OrbiterLanderRover","2024","H3","Proposed"
"Chang'e8","TBD","2026","TBD","Proposed"
"NorthKoreanmissiontoMoon","TBD","2026","Unha-20","Proposed"
