"Application","Latestreleasedateandversion","Developedby","Platforms","MainlyUsedFor","License"
"3dsMax","2020-08-27v2021.2","Autodesk","MicrosoftWindows","Modeling,Animation(VideoGamesandMovies),FXSimulations,Lighting,Rendering","Proprietary"
"AC3D","2020-11-01v8.6","Inivis","Linux,MacOSX,MicrosoftWindows","Modeling","Proprietary"
"AlibreDesign","2018-07-16v2018","Alibre,LLC","MicrosoftWindows","ComputerAidedDesign","Proprietary"
"AutoCAD","2020-03-28v2021","Autodesk","MacOSX,MicrosoftWindows","2DComputerAidedDesign,3DModeling,BasicRendering,RudimentaryAnimation(ofCamera,notobjects)","Proprietary"
"Blender","2022-01-28v3.0.1","BlenderFoundation","MicrosoftWindows,MacOSX,Linux,BSD,Solaris,AmigaOS4,MorphOS","2D/3DtoonAnimation,Lighting,Modeling,NodebasedMaterialCreation/Texturing/3DTexturePainting/UVMapping,Rendering(Internal,External,3DAnaglyphandVR),3DRiggingandAnimation,Sculpting,Visual3DEffects,BasicPost-ProductionVideoEditing,MotionTracking,PythonScripting,FluidSimulation,Particles,Physics,Compositing","GPL-2.0-or-later"
"Carrara","2013-08-268.5.1.19","Daz3D","MicrosoftWindows,MacOSX","Animation,Modeling","Proprietary"
"Cheetah3D","2019-08-24v7.4","MartinWengenmayer","MacOSX","Animation,Modeling,Rendering","Proprietary"
"Cinema4D","2020-09-11R23","Maxon","MacOSX,MicrosoftWindows,AmigaOS","Animation,Lighting,Modeling,Visual3DEffects,Rendering,Simulation","Proprietary"
"CityEngine","2018-09-18v2018.1","Procedural","MacOSX,MicrosoftWindows,Linux","ProceduralModelingof3DCities","Proprietary"
"Clara.io","redesignedin2015-03-31","Exocortex","MozillaFireFox,GoogleChrome,MicrosoftInternetExplorer","Modeling,Animation,Rendering","Proprietary"
"Cobalt","2020-02-04v11","Ashlar-Vellum","MacOSX,MicrosoftWindows","Modeling,ComputerAidedDesign,Animation","Proprietary"
"DesignSparkMechanical","2020-07-13v5.0","SpaceClaim,RSComponents","MicrosoftWindows","Modeling,ComputerAidedDesign,RapidPrototyping,3DPrinting","Proprietary"
"ElectricImageAnimationSystem","2013-06v9.1.0","EIAS3D","MacOSX,MicrosoftWindows","Animation,Lighting,Rendering,Film,Television,Visual3DEffects","Proprietary"
